Date,Close,High,Low,Open,Volume,Ticker
,MSFT,MSFT,MSFT,MSFT,MSFT,
2020-01-02,153.0422821044922,153.1470931177711,150.86032587757265,151.28909291774593,22622100,MSFT
2020-01-03,151.1366729736328,152.4039284141965,150.6030947963249,150.8508379064428,21116200,MSFT
2020-01-06,151.52731323242188,151.59401776506908,149.12619721864283,149.6693128510685,20813700,MSFT
2020-01-07,150.14572143554688,152.13711630992105,149.89799290182077,151.8036372690105,21634100,MSFT
2020-01-08,152.53732299804688,153.21383324803998,150.498283797712,151.43204560824276,27746500,MSFT
2020-01-09,154.44296264648438,154.5668341975591,153.432973337792,154.2047570722111,21385000,MSFT
2020-01-10,153.7283172607422,155.51962749773685,153.57586223229333,155.13850446552647,20725900,MSFT
2020-01-13,155.57684326171875,155.605426771148,153.65213790629156,154.1285491153338,21626500,MSFT
2020-01-14,154.48110961914062,155.88175979416434,154.090448922397,155.68166068105373,23477400,MSFT
2020-01-15,155.4814910888672,156.2056451329004,154.90028361086624,154.94791308099659,21417900,MSFT
2020-01-16,158.3304901123047,158.3971946563087,156.2914508396522,156.5963609741012,23865400,MSFT
2020-01-17,159.21656799316406,159.56910749394856,157.6253423991826,159.52146348437785,34371700,MSFT
2020-01-21,158.6448516845703,160.2551230759424,158.57814717065128,158.81635265366114,29517200,MSFT
2020-01-22,157.88258361816406,159.58814293606275,157.86352310954788,159.50237791674397,24138800,MSFT
2020-01-23,158.85452270507812,158.93075022783887,157.47293338495862,158.34952808833728,19680800,MSFT
2020-01-24,157.25372314453125,159.62625495729935,156.69156170155247,159.60719444802132,24918100,MSFT
2020-01-27,154.6239776611328,155.67208784388203,152.64210584033302,153.547283976937,32078100,MSFT
2020-01-28,157.65399169921875,157.939826771765,155.37674687480407,156.0532425983838,24899900,MSFT
2020-01-29,160.1122589111328,160.78876916667522,157.8731351453459,159.9216973517553,34754500,MSFT
2020-01-30,164.62863159179688,165.83871995253386,162.73251002961166,165.83871995253386,51597500,MSFT
2020-01-31,162.19888305664062,164.26650502733744,161.57955457958337,164.0854810621785,36142700,MSFT
2020-02-03,166.1531219482422,166.26745594744494,162.36087953368826,162.38946303348897,30107000,MSFT
2020-02-04,171.62234497070312,172.11781662878568,167.9920943985049,168.78293863810697,36433300,MSFT
2020-02-05,171.41268920898438,175.5098271284707,169.99299359122742,175.34784911686342,39186300,MSFT
2020-02-06,174.96676635742188,175.1478049234998,171.56518371416328,172.43225551016033,27751400,MSFT
2020-02-07,175.21446228027344,176.87237803350294,173.8709795770829,174.22353365441194,33529100,MSFT
2020-02-10,179.7975616455078,179.93095618338666,174.60468311812673,174.9191162157513,35844300,MSFT
2020-02-11,175.738525390625,181.7031870097022,174.8428702142551,181.65554299286944,53159900,MSFT
2020-02-12,175.99578857421875,177.0820052612557,173.27071659952438,176.82473920569333,47062900,MSFT
2020-02-13,175.04295349121094,177.4440547028916,174.24257188173937,174.4426709188351,35295800,MSFT
2020-02-14,176.60560607910156,176.66277308665374,174.0329744279463,174.6046735812949,23149500,MSFT
2020-02-18,178.3968963623047,178.84472395923498,176.748518027873,176.85332905138674,27792200,MSFT
2020-02-19,178.93191528320312,179.79179157907453,178.15802370119442,179.67714529392427,29997500,MSFT
2020-02-20,176.1994171142578,178.90327069854922,173.0274147687379,178.61664037983618,36862400,MSFT
2020-02-21,170.62930297851562,175.32044201019235,169.34903730957274,175.00515009256466,48572600,MSFT
2020-02-24,163.2725372314453,166.76939536429856,155.95398004505844,160.29161663484905,68311100,MSFT
2020-02-25,160.57823181152344,167.0464463520378,160.17694061961805,166.4349751443764,68073300,MSFT
2020-02-26,162.58462524414062,165.53688417349048,160.71200092942902,162.14513803050656,56206100,MSFT
2020-02-27,151.12911987304688,159.58463697524354,150.93803778830377,156.04001838057894,93174900,MSFT
2020-02-28,154.78834533691406,156.41257893669868,145.2245496509673,145.61627726402705,97012700,MSFT
2020-03-02,165.0878143310547,165.21202419730741,155.07496835569077,157.94124222707768,71030800,MSFT
2020-03-03,157.17694091796875,167.19935310375058,155.02723494949194,166.05284616962163,71677000,MSFT
2020-03-04,162.9477081298828,163.09101602333493,158.23745612386801,160.9795353071351,49814400,MSFT
2020-03-05,158.85848999023438,163.2534354451266,158.3043418414081,158.64829536210627,47817300,MSFT
2020-03-06,154.3679656982422,155.83931322558516,149.04624346895147,155.3616009067744,72821100,MSFT
2020-03-09,143.90606689453125,150.71824982433446,143.31370823233073,144.2691329538796,70419300,MSFT
2020-03-10,153.7469482421875,153.8520455473004,145.77870936639837,151.10998119384263,65354400,MSFT
2020-03-11,146.78187561035156,150.67044587719957,144.41241227286622,150.12586147449383,56371600,MSFT
2020-03-12,132.861328125,146.62899861576977,132.4027284487826,138.8231822303098,93226400,MSFT
2020-03-13,151.7501220703125,154.6928321908884,134.45692743443067,140.92515738418072,92727400,MSFT
2020-03-16,129.3836212158203,142.69269590574396,128.98234455995768,133.75946843254872,87905900,MSFT
2020-03-17,140.0365753173828,140.92511310054996,128.9823069055881,133.75942938357286,81059800,MSFT
2020-03-18,134.1416473388672,139.49203249904852,129.00147139723143,131.84863345800474,81593200,MSFT
2020-03-19,136.3486785888672,143.4570268009298,132.8040461931456,136.40600174385253,85922700,MSFT
2020-03-20,131.2276153564453,140.54300809666154,129.8040270124553,139.49203487913508,84866200,MSFT
2020-03-23,129.91867065429688,134.30408191819546,126.61290874487847,130.90275711102777,78975200,MSFT
2020-03-24,141.72769165039062,142.93153606152444,134.97284683336954,137.34229592629205,82516700,MSFT
2020-03-25,140.3710479736328,147.45075116245715,138.00159790840422,142.2723490900915,75638200,MSFT
2020-03-26,149.1513671875,149.67685374701728,141.75637393382866,141.78503551174546,64568100,MSFT
2020-03-27,143.02706909179688,147.9857254238358,142.54935676044244,144.9856925660748,57042300,MSFT
2020-03-30,153.0876922607422,153.44120930549767,143.3232508733765,145.644940424634,63420300,MSFT
2020-03-31,150.6800537109375,157.43489955967067,149.58130642853416,152.29470939927032,77927200,MSFT
2020-04-01,145.3296661376953,150.718261397872,144.0971745668499,146.17999362202482,57969900,MSFT
2020-04-02,148.3392791748047,148.54947383956903,143.65770254024264,145.0908400298386,49630700,MSFT
2020-04-03,146.97296142578125,150.3647215205411,145.40606573466746,148.1863546957883,41243300,MSFT
2020-04-06,157.903076171875,159.0782447084262,150.55585641101965,153.17372586653906,67111700,MSFT
2020-04-07,156.20240783691406,162.42221811770446,155.98264963343846,162.03049044572688,62769000,MSFT
2020-04-08,157.76931762695312,159.2406655511277,156.21197038244458,158.28524065582224,48318200,MSFT
2020-04-09,157.77880859375,159.90940124459578,156.0494925019006,158.9444277035774,51385100,MSFT
2020-04-13,158.13233947753906,158.1896772065364,155.06543430358326,157.02405788686883,41905300,MSFT
2020-04-14,165.95724487304688,166.00501901726545,160.5113277404351,161.46675231031864,52874300,MSFT
2020-04-15,164.2184295654297,165.83309991105074,161.69610851873585,163.5687330798885,40940800,MSFT
2020-04-16,169.14837646484375,169.37768363300282,165.19291893049618,166.53052221015562,50479600,MSFT
2020-04-17,170.6388702392578,171.9764590896159,168.03055011312193,171.49874670325588,52765600,MSFT
2020-04-20,167.25665283203125,170.78217245900976,167.18978068104397,168.75667667318723,36669600,MSFT
2020-04-21,160.33938598632812,165.92861193754004,158.70560327528187,165.7661914820646,56203700,MSFT
2020-04-22,165.78530883789062,166.24390864178403,163.20566489538103,163.75024942901226,34620200,MSFT
2020-04-23,163.77891540527344,167.25666105035813,163.2916540117112,166.34901041750675,32790800,MSFT
2020-04-24,166.76939392089844,166.77894292014466,163.10056636013007,164.3903810323593,34277600,MSFT
2020-04-27,166.29165649414062,169.0146078888716,165.5750880357447,168.7184285919809,33194400,MSFT
2020-04-28,162.2406768798828,167.83946658136614,161.83940022834474,167.76303085079343,34392700,MSFT
2020-04-29,169.52102661132812,169.7598828273134,164.2184302793562,165.49869609816693,51286600,MSFT
2020-04-30,171.22164916992188,172.3585921991362,168.37447336216547,171.9764281901626,53875900,MSFT
2020-05-01,166.78851318359375,170.67708451189353,166.25346305323797,167.96368159747485,39370500,MSFT
2020-05-04,170.86814880371094,171.02102025364536,166.05281475976705,166.71206013131342,30372900,MSFT
2020-05-05,172.70254516601562,175.4637216723672,171.88087942821087,172.5687863053787,36839200,MSFT
2020-05-06,174.40321350097656,175.98922195799156,173.5337881277713,173.96372631515825,32139300,MSFT
2020-05-07,175.41598510742188,176.32363567923608,174.44144780720723,175.96056961906066,28316000,MSFT
2020-05-08,176.4478302001953,176.7535731081761,175.1866771513351,176.73446053177125,30877800,MSFT
2020-05-11,178.41600036621094,179.15166683351373,174.69939914466133,174.98601487029987,30892700,MSFT
2020-05-12,174.3745574951172,178.70263023835386,174.17392647128779,178.4733376396917,32038200,MSFT
2020-05-13,171.7375946044922,175.84592384455263,168.67067481754464,174.41278675466813,44711500,MSFT
2020-05-14,172.48284912109375,172.63572059784025,167.84903271027238,169.62612353622768,41873900,MSFT
2020-05-15,174.99560546875,178.7217562636514,169.11018534979667,171.07835805575098,46610400,MSFT
2020-05-18,176.6676025390625,177.90009411138985,175.7599518985268,177.47015586888614,35264500,MSFT
2020-05-19,175.44464111328125,178.28225361895426,175.31088223935092,176.7822298525847,26799100,MSFT
2020-05-20,177.87818908691406,178.0602277033785,176.23028056417823,177.063810419329,31261300,MSFT
2020-05-21,175.74166870117188,178.84587191060044,175.60753727590682,177.6290988690488,29119500,MSFT
2020-05-22,175.8183135986328,176.7285067714201,174.88896923637637,175.51173375561126,20826900,MSFT
2020-05-26,173.95960998535156,178.68296499176597,173.50930858232218,178.529667786644,36073600,MSFT
2020-05-27,174.18955993652344,174.3620229656689,169.19794159308978,172.64704136449447,39517100,MSFT
2020-05-28,173.79673767089844,176.43147330858378,172.8195007965825,173.16441222846677,33810200,MSFT
2020-05-29,175.56919860839844,176.54645008284925,172.84823882070816,175.0709899678041,42130400,MSFT
2020-06-01,175.1667938232422,175.3296666226282,173.85422121574976,174.88894080958718,22622400,MSFT
2020-06-02,177.15963745117188,177.2458616590399,173.74885456048523,176.52729735501674,30794600,MSFT
2020-06-03,177.59078979492188,178.14648132988268,175.88539818935195,177.07342987987812,27311000,MSFT
2020-06-04,175.2530059814453,178.05061401605363,174.65899762222494,176.57516871052312,28761800,MSFT
2020-06-05,179.3536376953125,179.86142193992043,174.3811706403524,174.96560349423308,39893600,MSFT
